,importance
BRAND,82.64443937404069
CURR_SIZE_OF_PRODUCT,66.19794153211949
UNIT_PRICE,51.94346406736791
COMMODITY_DESC,39.5481069728833
DEPARTMENT,30.549141861450753
DISCOUNT_RATE,20.449277097986645
RETAIL_DISC,18.521842172634962
SUB_COMMODITY_DESC,18.50455771253708
total_discount,17.272852347829655
MANUFACTURER,16.418396915400542
