,importance
RETAIL_DISC,5337
DAY,5208
UNIT_PRICE,3802
STORE_ID,3291
DISCOUNT_RATE,2609
total_discount,1850
INCOME_DESC,1359
DEPARTMENT,1160
MANUFACTURER,728
CAMPAIGN,631
